date_file,County,Population,PCR_Positive_Tests,PCR_Positive_Percent,PCR_Total_Tests,Beds_Occupied_Total,Beds_Occupied_Percent,Beds_Available_Total,COVID_Total_Admissions,COVID_Susp_Admissions,COVID_Conf_Admissions
2021-01-29,"Palm Beach County, FL",1496770,705.9594285714286,0.113,43732,414.595918367347,0.8,3627.714285714286,76.57142857142857,82,454
2021-01-29,"Duval County, FL",957755,373.22628571428567,0.104,25121,355.67999999999995,0.72,3458,72.71428571428571,119,390
2021-01-30,"Miami-Dade County, FL",2716940,3205.1699999999996,0.126,178065,746.3542176870748,0.86,6074.97619047619,154.71428571428572,268,815
2021-01-30,"Broward County, FL",1952778,1321.4894285714286,0.127,72838,521.3387755102041,0.8,4561.714285714285,121.42857142857143,145,705
2021-01-30,"Palm Beach County, FL",1496770,722.8577142857142,0.114,44386,419.71224489795924,0.81,3627.142857142857,71.57142857142857,71,430
2021-01-30,"Duval County, FL",957755,361.6624285714285,0.103,24579,360.62,0.73,3458,73.71428571428571,114,402
2021-01-31,"Miami-Dade County, FL",2716940,3102.0548571428567,0.124,175116,750.3763265306121,0.86,6107.714285714284,154.28571428571428,255,825
2021-01-31,"Broward County, FL",1952778,1296.9058571428573,0.127,71483,521.861224489796,0.8,4566.285714285715,121,154,693
2021-01-31,"Palm Beach County, FL",1496770,723.3137142857142,0.114,44414,419.21632653061226,0.81,3622.857142857143,75.42857142857143,74,454
2021-01-31,"Duval County, FL",957755,375.105,0.105,25007,357.92346938775506,0.73,3432.142857142857,69.85714285714286,111,378
2021-02-01,"Miami-Dade County, FL",2716940,3021.7409999999995,0.123,171969,746.831020408163,0.86,6078.857142857141,153.14285714285714,249,823
2021-02-01,"Broward County, FL",1952778,1282,0.125,71792,523.1646258503401,0.8,4577.690476190476,114.71428571428571,154,649
2021-02-01,"Palm Beach County, FL",1496770,708.16,0.112,44260,418.75346938775516,0.81,3618.857142857143,74.42857142857143,71,450
2021-02-01,"Duval County, FL",957755,386.3311428571428,0.107,25274,360.09306122448976,0.74,3406.285714285714,66.85714285714286,108,360
2021-02-02,"Miami-Dade County, FL",2716940,2884.9542857142856,0.12,168289,743.5314285714285,0.86,6051.999999999999,149.71428571428572,248,800
2021-02-02,"Broward County, FL",1952778,1225.08,0.123,69720,523.6244897959184,0.8,4581.714285714285,122.28571428571429,172,684
2021-02-02,"Palm Beach County, FL",1496770,687.3851428571428,0.109,44144,418.6542857142858,0.81,3618,75.28571428571429,73,454
2021-02-02,"Duval County, FL",957755,382.23,0.105,25482,357.35959183673475,0.74,3380.428571428572,68.14285714285714,113,364
2021-02-03,"Miami-Dade County, FL",2716940,2865.085714285714,0.12,167130,743.6542857142856,0.86,6052.999999999999,149.28571428571428,232,813
2021-02-03,"Broward County, FL",1952778,1237.114857142857,0.122,70982,523.3632653061225,0.8,4579.428571428572,123,169,692
2021-02-03,"Palm Beach County, FL",1496770,695.1942857142857,0.107,45480,418.158367346939,0.81,3613.714285714287,76.71428571428571,67,470
2021-02-03,"Duval County, FL",957755,396.27,0.105,26418,359.41836734693874,0.75,3354.571428571428,66.14285714285714,108,355
